source_id,name,url,timestamp,problem_code,http_status,stage,detail,retryable,recommended_action
POL_RS_002,SDS,https://www.sdsrs.com/,2026-08-29T02:33:26.411850Z,JS_ONLY,200,source_expansion_audit_01,nessun testo estraibile senza JS (probabile SPA) e nessun feed/sitemap utile,False,scartare (no browser automation in questo task)
RS_IJ_019,Dešavanja u Bijeljini,https://desavanjaubijeljini.com/,2026-08-29T02:33:26.411850Z,JS_ONLY,200,source_expansion_audit_01,nessun testo estraibile senza JS (probabile SPA) e nessun feed/sitemap utile,False,scartare (no browser automation in questo task)
RS_IJ_010,Modričainfo,https://www.modricainfo.com/,2026-08-29T02:33:26.411850Z,RSS_EMPTY,200,source_expansion_audit_01,feed trovato ma 0 item negli ultimi 7g,False,"MANUAL_REVIEW, rivedere in futuro"
ECO_007,Republički zavod za statistiku RS,https://www.rzs.rs.ba/,2026-08-29T02:33:26.411850Z,NO_ARTICLE_LINKS,200,source_expansion_audit_01,"html controllato, 0 articoli recenti su 8",False,MANUAL_REVIEW
SRC_006,Centralna banka BiH,https://www.cbbh.ba/,2026-08-29T02:33:26.411850Z,RSS_EMPTY,200,source_expansion_audit_01,feed trovato ma 0 item negli ultimi 7g,False,"MANUAL_REVIEW, rivedere in futuro"
ECO_006,Agencija za statistiku BiH,https://bhas.gov.ba/,2026-08-29T02:33:26.411850Z,NO_ARTICLE_LINKS,200,source_expansion_audit_01,"html controllato, 0 articoli recenti su 7",False,MANUAL_REVIEW
SRC_005,Žurnal,https://zurnal.info/,2026-08-29T02:33:26.411850Z,BLOCKED_403,403,source_expansion_audit_01,HTTP 403 https://zurnal.info/,False,rivedere User-Agent/IP o scartare
POL_RS_010,Za pravdu i red,https://pravdared.com/,2026-08-29T02:33:26.411850Z,DEAD_DOMAIN,,source_expansion_audit_01,<urlopen error [Errno 11001] getaddrinfo failed> https://pravdared.com/,False,scartare o verificare URL aggiornato
POL_RS_005,DEMOS,https://demos-rs.com/,2026-08-29T02:33:26.411850Z,RSS_EMPTY,200,source_expansion_audit_01,feed trovato ma 0 item negli ultimi 7g,False,"MANUAL_REVIEW, rivedere in futuro"
POL_RS_012,Pokret za državu,nan,2026-08-29T02:33:26.411850Z,NO_WEBSITE_URL,,source_expansion_audit_01,nessun website_url in v14 (solo social/persona),False,"nessuna azione, solo social/persona"
POL_RS_007,Socijalistička partija RS,https://socijalisti.ba/,2026-08-29T02:33:26.411850Z,RSS_EMPTY,200,source_expansion_audit_01,feed trovato ma 0 item negli ultimi 7g,False,"MANUAL_REVIEW, rivedere in futuro"
POL_RS_006,SPS RS,https://spsrs.org/,2026-08-29T02:33:26.411850Z,DEAD_DOMAIN,,source_expansion_audit_01,<urlopen error [Errno 11001] getaddrinfo failed> https://spsrs.org/,False,scartare o verificare URL aggiornato
POL_RS_009,NPS (Narodna partija Srpske),https://npsrs.org/,2026-08-29T02:33:26.411850Z,RSS_EMPTY,200,source_expansion_audit_01,feed trovato ma 0 item negli ultimi 7g,False,"MANUAL_REVIEW, rivedere in futuro"
POL_RS_008,DNS,https://dnsrs.org/,2026-08-29T02:33:26.411850Z,JS_ONLY,200,source_expansion_audit_01,nessun testo estraibile senza JS (probabile SPA) e nessun feed/sitemap utile,False,scartare (no browser automation in questo task)
PART_RS_ZPIR_001,Za pravdu i red,https://zapravduired.org/,2026-08-29T02:33:26.411850Z,NO_ARTICLE_LINKS,200,source_expansion_audit_01,"html controllato, 0 articoli recenti su 8",False,MANUAL_REVIEW
RS_IJ_018,InfoBijeljina,https://www.infobijeljina.com/,2026-08-29T00:00:00Z,REGRESSION_EXISTING_SOURCE,,pilot_daily_all run 2026-08-29,"Fonte attiva (enabled: true) con method: html_home_links. pilot/collect.py collect_from_html_source dispatcha la raccolta SOLO se 'sitemap' o 'wayback' e' presente nel campo method (riga 335-342): altrimenti ritorna [] e logga PARSE_ERROR/MANUAL_ONLY. Confermato dal vivo nel run pilot_daily_all del 2026-08-29: 0 item raccolti, 1 errore MANUAL_ONLY. Preesistente a questo task, non causato da esso. Config lasciata invariata per §22/§3 (non toccare pilot/collect.py in questo task, non disabilitare la fonte automaticamente).",False,Verificare se InfoBijeljina espone un sitemap.xml o e' recuperabile via Wayback CDX in un prossimo task che tocchi pilot/collect.py; oppure correggere il dispatch di collect_from_html_source per gestire anche 'html_home_links' con un fetch mirato delle pagine homepage.
